ts,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,sm_clock_mhz
1787380277,0,0,0,77.68,345
1787380278,0,0,0,77.60,345
1787380279,0,0,0,77.67,345
1787380280,0,0,0,77.59,345
1787380281,0,0,0,77.57,345
1787380282,0,0,0,77.58,345
1787380283,0,0,0,77.57,345
1787380285,0,0,0,77.53,345
1787380286,0,0,0,77.54,345
1787380287,0,0,0,77.54,345
1787380288,0,0,0,77.52,345
1787380289,0,0,0,77.47,345
1787380290,0,0,0,77.49,345
1787380291,0,0,0,77.48,345
1787380292,0,0,0,77.40,345
1787380293,0,0,0,77.36,345
1787380294,0,0,0,77.41,345
1787380295,0,0,0,77.32,345
1787380296,0,0,0,77.31,345
1787380297,0,0,0,77.37,345
1787380298,0,0,0,77.32,345
1787380299,0,0,4,78.69,825
1787380300,0,0,4,80.56,825
1787380301,0,0,4,78.68,345
1787380302,0,0,4,77.46,345
1787380303,0,0,4,77.46,345
1787380304,0,0,0,77.42,345
1787380305,0,0,4,77.42,345
1787380306,0,0,4,77.30,345
1787380307,0,0,4,77.33,345
1787380308,0,0,4,77.34,345
1787380309,0,0,4,77.39,345
1787380310,0,0,4,77.43,345
1787380312,0,0,4,77.38,345
1787380313,0,0,4,77.36,345
1787380314,0,0,4,77.39,345
1787380315,0,0,4,77.50,345
1787380316,0,0,4,77.45,345
1787380317,0,0,4,77.45,345
1787380318,0,0,4,77.49,345
1787380319,0,0,4,77.51,345
1787380320,0,0,23,78.11,1980
1787380321,0,0,20375,123.12,1980
1787380322,0,0,63331,127.72,1980
1787380323,0,0,63331,122.38,1980
1787380324,0,0,63331,122.37,1980
1787380325,0,0,63331,122.46,1980
1787380326,0,0,63331,122.55,1980
1787380327,0,0,63331,122.62,1980
1787380328,0,0,63331,122.57,1980
1787380329,0,0,63331,122.67,1980
1787380330,0,0,63331,122.67,1980
1787380331,0,0,63331,122.71,1980
1787380332,0,0,63331,122.79,1980
1787380333,0,0,63331,122.83,1980
1787380334,0,0,63331,122.82,1980
1787380335,0,0,63331,122.79,1980
1787380336,0,0,63331,122.89,1980
1787380337,0,0,63331,122.98,1980
1787380338,0,0,63331,122.94,1980
1787380340,0,0,63331,122.89,1980
1787380341,0,0,63331,122.86,1980
1787380342,0,0,63331,122.89,1980
1787380343,0,0,63331,122.90,1980
1787380344,0,0,63331,122.84,1980
1787380345,0,0,63331,122.82,1980
1787380346,0,0,63331,122.80,1980
1787380347,0,0,63331,122.74,1980
1787380348,0,0,63331,122.66,1980
1787380349,0,0,63331,122.66,1980
1787380350,0,0,63331,122.64,1980
1787380351,14,0,63331,122.87,1980
1787380352,13,0,63331,124.07,1980
1787380353,17,0,63331,124.09,1980
1787380354,13,0,63331,124.07,1980
1787380355,17,0,63331,124.04,1980
1787380356,18,0,63331,124.04,1980
1787380357,18,0,63331,123.88,1980
1787380358,13,0,63331,123.80,1980
1787380359,16,0,63331,123.69,1980
1787380360,0,0,78507,123.26,1980
1787380361,100,98,80127,519.10,1980
1787380362,100,97,81659,521.49,1980
1787380363,0,0,63719,305.88,1980
1787380364,0,0,63719,124.25,1980
1787380365,0,0,63719,123.81,1980
1787380366,0,0,63719,123.68,1980
1787380368,0,0,63719,123.64,1980
1787380369,0,0,63719,123.71,1980
1787380370,0,0,63719,123.52,1980
1787380371,13,10,63955,127.04,1980
1787380372,0,0,63719,150.40,1980
1787380373,0,0,64917,135.51,1980
1787380374,0,0,64917,124.07,1980
1787380375,0,0,64917,164.06,1980
1787380376,0,0,64917,124.14,1980
1787380377,0,0,64917,124.05,1980
1787380378,0,0,64983,124.11,1980
1787380379,0,0,64983,124.05,1980
1787380380,0,0,64983,124.46,1980
1787380381,0,0,67341,195.29,1980
1787380382,0,0,67341,123.62,1980
