ts,host_cpu_busy_jiffies,db_usage_usec
1787368857,1173265,246889913
1787368858,1173307,246988689
1787368859,1173343,247020443
1787368860,1173370,247026428
1787368861,1173394,247054308
1787368862,1173424,247059942
1787368863,1173456,247094630
1787368864,1173489,247100614
1787368865,1173528,247106248
1787368866,1173556,247137198
1787368867,1173585,247144263
1787368868,1173626,247332566
1787368869,1173674,247364334
1787368870,1173768,247808749
1787368871,1173790,247815567
1787368872,1173811,247852685
1787368873,1173832,247890384
1787368874,1173853,247924293
1787368875,1173872,247930416
1787368876,1173897,247936402
1787368877,1173930,247978146
1787368878,1173961,247983712
1787368879,1173981,247993170
1787368880,1174005,248035252
1787368881,1174032,248045987
1787368882,1174053,248052145
1787368883,1174071,248060029
1787368884,1174102,248093807
1787368885,1174132,248102406
1787368886,1174177,248262215
1787368887,1174203,248294648
1787368888,1174224,248300924
1787368889,1174259,248408563
1787368890,1174281,248414656
1787368892,1174306,248423070
1787368893,1174351,248473567
1787368894,1174379,248480896
1787368895,1174421,248608214
1787368896,1174443,248652946
1787368897,1174471,248659132
1787368898,1174500,248665327
1787368899,1174520,248671816
1787368900,1174571,248753158
1787368901,1174598,248759086
1787368902,1174644,248923205
1787368903,1174672,248929174
1787368904,1174701,248983482
1787368905,1174721,248989498
1787368906,1174741,248995432
1787368907,1174785,249001432
1787368908,1174826,249007232
1787368909,1174881,249289076
1787368910,1174906,249294829
1787368911,1174936,249381215
1787368912,1174975,249620927
1787368913,1175003,249627645
1787368914,1175097,249632229
1787368915,1175534,249635032
1787368916,1175656,249775610
1787368917,1175712,250083059
1787368918,1175741,250089643
1787368919,1175771,250096279
1787368920,1175823,250102764
1787368921,1175867,250226277
1787368922,1175901,250283658
1787368923,1175928,250290567
1787368924,1175969,250481302
1787368925,1175993,250487532
1787368926,1176023,250494903
1787368927,1176075,250717229
1787368928,1176124,250967097
1787368929,1176150,250972825
1787368930,1176167,250978171
1787368931,1176189,250984194
1787368932,1176265,251319647
1787368933,1176304,251459275
1787368934,1176325,251466959
1787368935,1176395,251471933
1787368936,1176419,251478326
1787368937,1176490,251919888
1787368938,1176521,251927004
1787368939,1176555,251932780
1787368940,1176583,251939153
1787368941,1176636,252200853
1787368942,1176690,252414388
1787368943,1176721,252420152
1787368944,1176756,252426755
1787368945,1176810,252559550
1787368946,1176841,252565979
1787368947,1176874,252579892
1787368948,1176911,252659687
1787368949,1176947,252665504
1787368950,1176977,252671444
1787368951,1177003,252677285
1787368952,1177034,252692061
1787368953,1177060,252698749
1787368954,1177094,252705857
1787368955,1177131,252719927
1787368956,1177159,252726465
1787368957,1177186,252732749
1787368958,1177216,252762723
1787368959,1177258,252768475
1787368960,1177317,252859709
1787368961,1177349,252926601
1787368962,1177369,252932765
1787368963,1177386,252939035
1787368964,1177413,252946433
1787368965,1177439,252951923
1787368966,1177482,252957741
1787368967,1177505,252963749
1787368968,1177524,252969963
1787368969,1177546,252974939
1787368970,1177572,252980374
1787368971,1177590,252985301
1787368972,1177616,252991589
1787368973,1177634,252998320
1787368974,1177654,253004777
1787368975,1177707,253018768
1787368976,1177739,253024014
1787368977,1177758,253030397
1787368978,1177776,253037241
1787368979,1177797,253043510
1787368980,1177814,253049899
1787368981,1177841,253055960
1787368982,1177859,253062556
1787368983,1177874,253069535
1787368984,1177893,253076238
1787368985,1177918,253082409
1787368986,1177945,253088274
1787368987,1177962,253095567
1787368988,1177991,253101414
1787368989,1178210,253106450
1787368990,1178321,253306193
1787368991,1178375,253351492
1787368992,1178398,253357612
1787368993,1178419,253364761
1787368994,1178442,253373149
1787368995,1178470,253443179
1787368996,1178502,253524150
1787368997,1178536,253533842
1787368998,1178561,253582366
1787368999,1178582,253589386
1787369000,1178602,253595905
1787369001,1178646,253607906
1787369002,1178670,253663057
1787369003,1178703,253739628
1787369004,1178722,253745885
1787369005,1178738,253751576
1787369006,1178765,253757425
1787369007,1178828,253795229
1787369008,1178849,253803922
1787369009,1178871,253817507
1787369010,1178896,253824545
1787369011,1178936,253842297
1787369012,1178973,253847620
1787369013,1178992,253908944
1787369014,1179018,253915230
1787369015,1179039,253921527
1787369017,1179067,254025656
1787369018,1179087,254031927
1787369019,1179109,254093899
1787369020,1179151,254105594
1787369021,1179200,254110599
1787369022,1179628,254113187
1787369023,1179736,254116260
1787369024,1179801,254165421
1787369025,1179824,254171446
1787369026,1179855,254240925
1787369027,1179889,254279060
1787369028,1179910,254285505
1787369029,1179936,254291714
1787369030,1179966,254297617
1787369031,1180004,254360137
1787369032,1180027,254366527
1787369033,1180053,254373053
1787369034,1180083,254379153
1787369035,1180113,254384465
1787369036,1180142,254390665
1787369037,1180221,254576264
1787369038,1180267,254582392
1787369039,1180313,254588630
1787369040,1180348,254670982
1787369041,1180380,254682772
1787369042,1180409,254689553
1787369043,1180438,254726833
1787369044,1180483,254781059
1787369045,1180513,254787491
1787369046,1180538,254797838
1787369047,1180564,254804767
1787369048,1180599,254811528
1787369049,1180644,254859472
1787369050,1180682,254869529
1787369051,1180718,254926610
1787369052,1180744,254959245
1787369053,1180765,254966292
1787369054,1180804,255005967
1787369055,1180843,255094456
1787369056,1180873,255101085
1787369057,1180895,255113713
1787369058,1180923,255120726
1787369059,1180960,255195648
1787369060,1180991,255201869
1787369061,1181020,255208072
1787369062,1181068,255272642
1787369063,1181087,255280231
1787369064,1181103,255289083
1787369065,1181120,255320838
1787369066,1181142,255349285
1787369067,1181173,255356774
1787369068,1181202,255459590
1787369069,1181218,255466806
1787369070,1181231,255474896
1787369071,1181253,255487154
1787369072,1181275,255494622
1787369073,1181300,255525583
1787369074,1181342,255665377
1787369075,1181360,255679902
1787369076,1181378,255687363
1787369077,1181396,255708518
