ts,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,sm_clock_mhz
1787368854,100,43,129715,466.78,1980
1787368855,100,43,129715,465.24,1980
1787368856,100,43,129715,447.85,1980
1787368857,100,43,129715,456.92,1980
1787368858,100,44,129715,455.88,1980
1787368859,100,46,129715,481.74,1980
1787368860,100,43,129715,454.57,1980
1787368861,100,46,129715,465.61,1980
1787368862,100,44,129715,454.72,1980
1787368863,100,44,129715,461.24,1980
1787368864,100,43,129715,456.65,1980
1787368865,100,44,129715,452.77,1980
1787368866,100,44,129715,456.34,1980
1787368867,100,43,129715,453.98,1980
1787368868,100,44,129715,452.86,1980
1787368869,100,44,129715,462.00,1980
1787368870,100,44,129715,461.02,1980
1787368871,100,44,129715,457.15,1980
1787368872,100,43,129715,458.71,1980
1787368873,100,44,129715,453.57,1980
1787368874,100,43,129715,456.24,1980
1787368875,100,44,129715,456.60,1980
1787368876,100,43,129715,449.65,1980
1787368877,100,44,129715,458.22,1980
1787368878,100,44,129715,455.96,1980
1787368879,100,43,129715,453.72,1980
1787368880,100,44,129715,455.27,1980
1787368881,100,43,129715,462.62,1980
1787368882,100,43,129715,449.47,1980
1787368884,100,43,129715,445.61,1980
1787368885,100,42,129715,456.13,1980
1787368886,100,40,129715,453.43,1980
1787368887,100,44,129715,462.87,1980
1787368888,100,43,129715,459.18,1980
1787368889,100,44,129715,458.55,1980
1787368890,100,43,129715,457.23,1980
1787368891,100,43,129715,446.95,1980
1787368892,100,43,129715,455.42,1980
1787368893,100,44,129715,457.11,1980
1787368894,100,39,129715,436.58,1980
1787368895,100,43,129715,464.84,1980
1787368896,100,43,129715,457.20,1980
1787368897,100,43,129715,446.19,1980
1787368898,100,43,129715,445.09,1980
1787368899,100,42,129715,459.61,1980
1787368900,100,43,129715,446.50,1980
1787368901,100,44,129715,458.19,1980
1787368902,100,43,129715,445.33,1980
1787368903,100,46,129715,455.71,1980
1787368904,100,43,129715,456.28,1980
1787368905,100,43,129715,450.81,1980
