#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260822    09:31:00       0     49     46      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:01       0     49     46      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      1 
 20260822    09:31:02       0     95     55      -    100    100      0      0      0      0   6801   1845      0      0   6362     13      0      -      -      0     43     12 
 20260822    09:31:03       0    183     57      -    100    100      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0     43     11 
 20260822    09:31:04       0    185     59      -    100    100      0      0      0      0   6801   1965      0      0   6362     13      0      -      -      0     44     11 
 20260822    09:31:05       0    119     51      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:06       0     67     50      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:07       0     49     49      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:08       0     49     49      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:10       0     49     49      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:11       0     49     49      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:12       0     49     49      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      1 
 20260822    09:31:13       0     49     49      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:14       0     49     49      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:15       0     49     49      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:16       0     49     49      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:17       0     49     49      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:18       0     49     49      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:19       0     49     49      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:20       0     49     49      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:21       0     49     49      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      0 
 20260822    09:31:22       0     47     48      -      0      0      0      0      0      0   6801   1725      0      0   6362     13      0      -      -      0      0      1 
 20260822    09:31:23       0     18     47      -      0      0      0      0      0      0    405    210     24      0   6362     13      0      -      -      0      0      0 
