Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
22.0,467701056,740,632028.5,602367.0,481043,3127658,175700.7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn
21.5,457451438,896,510548.5,510034.0,502706,520242,4086.5,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
16.1,343391277,1466,234236.9,245817.5,66366,398965,118179.6,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
6.6,141404233,224,631268.9,427252.0,70462,3045709,920717.2,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
4.8,102776103,1774,57934.7,30767.0,1920,276056,83040.1,triton_poi_fused_mul_silu_slice_1
4.3,91083392,364,250229.1,321175.0,159004,323991,78303.3,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_tn_align8>(T1::Params)
3.7,78820583,196,402145.8,125245.0,124668,1635667,507991.6,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Params)
2.3,49418388,795,62161.5,66814.0,33983,68030,11291.4,ampere_bf16_s16816gemm_bf16_128x64_ldg8_relu_f2f_stages_32x6_tn
2.2,46783495,2083,22459.7,22272.0,5792,41087,11116.5,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
1.8,38528382,476,80942.0,36895.0,32927,174107,61897.9,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn
1.8,37228490,3660,10171.7,11072.0,1056,369397,6673.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
1.5,31215465,252,123870.9,121324.5,25504,181947,42473.7,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_32x5_tn
1.3,28541751,224,127418.5,127420.0,126813,128284,220.1,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn
1.3,27059166,957,28275.0,34911.0,4128,45983,15406.7,triton_
0.8,17919385,263,68134.5,68127.0,67614,68894,228.5,ampere_s16816gemm_bf16_128x128_ldg8_stages_32x5_tn
0.8,16659481,112,148745.4,148508.0,145308,152316,1387.6,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_tn_align8>(T1::Params)
0.8,16057146,1735,9254.8,4224.0,2112,46015,13179.5,triton_poi_fused_3
0.7,14434890,4054,3560.7,3360.0,2240,6560,972.3,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.7,14272342,1580,9033.1,6672.0,2879,85245,10871.6,triton_red_fused_fused_add_rms_norm_2
0.5,9986605,28,356664.5,356374.5,355799,359254,944.8,ampere_bf16_s1688gemm_bf16_128x128_ldg8_relu_f2f_stages_32x1_tn
0.5,9651476,1581,6104.7,5024.0,2368,50366,5672.4,triton_red_fused_fused_add_rms_norm_0
0.4,9322075,270,34526.2,40079.0,1983,45886,15894.2,triton_poi_fused_1
0.4,9090984,112,81169.5,81022.0,77566,85277,1652.6,ampere_s16816gemm_bf16_64x64_ldg8_stages_64x5_tn
0.3,6052250,140,43230.4,17647.0,16799,148827,51679.1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Params)
0.3,5353110,2979,1796.9,1856.0,1120,3264,469.5,"void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)"
0.2,5183059,56,92554.6,92413.5,90974,93949,850.6,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn
0.2,4927161,28,175970.0,175995.0,175579,176315,173.8,ampere_s16816gemm_bf16_64x128_ldg8_stages_32x6_tn
0.2,4169484,28,148910.1,148972.0,146300,149851,595.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<signed char>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.2,4129071,112,36866.7,36863.0,36543,37215,139.8,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn
0.2,3761721,28,134347.2,134300.5,133821,135196,361.4,"void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (int)128, (int)16, (int)4, (int)4, (bool)0, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13, T6, T6)"
0.2,3723284,431,8638.7,11168.0,2880,13311,4191.7,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.2,3680213,168,21906.0,21887.0,20992,24031,485.8,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x5_tn
0.2,3662555,2027,1806.9,1824.0,1535,1984,94.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.2,3478111,40,86952.8,29359.0,2111,1762095,278687.2,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<c10::BFloat16, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
