Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
19083928635,1536,836,1,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
19084229106,1472,937,1,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
19084875456,1152,1039,1,1,1,128,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,7,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
19084904927,1120,1069,1,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
19084921918,1312,1086,2,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
19084933086,1152,1103,2,1,1,128,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,7,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
19084959677,1088,1121,1,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<bool>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
19084975389,1184,1138,1,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
19084986109,1088,1155,1,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
19084996124,1088,1172,1,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3070 (0),1,,7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
